index,dewey
"Biologie générale, sciences de la vie",Biologie
Physique,Physique
Ingénierie (art de l'ingénieur et activités connexes),Ingénierie
"Médecine et santé (bases de données médicales non bibliographiques, sciences ...",Médecine
Chimie et sciences connexes (bibliographies contenant des résumés substantiels sur ...,Chimie
"Droit (jurisprudence, législation, matières religieuses, ouvrages9782297054119 généraux, science juridique)",Sciences sociales
Mathématiques,Mathématiques
Économie politique (messages de l'exécutif sur l'économie ; ouvrages généraux ...,Sciences sociales
"Sciences de la Terre et des autres mondes (climatologie, géologie, ...",Sciences de la terre
Gestion de l'entreprise et services annexes (ouvrages interdisciplinaires sur les ...,Sciences sociales
Psychologie,Sciences sociales
Littératures des langues romanes (littérature française),Sciences humaines
"Éducation (enseignement, instruction, ouvrages interdisciplinaires, psychopédagogie, sciences de l'éducation)",Sciences humaines
"Science politique (aspects politiques de l'Islam, gouvernement, politique)",Sciences sociales
"Géographie générale, voyages (tourisme)",Sciences sociales
Génie chimique (chimie industrielle) et techniques connexes (technologie chimique),Chimie
"Histoire générale du monde ancien (jusqu'à 499), préhistoire (ouvrages interdisciplinaires ...",Sciences humaines
"Coutumes, folklore, savoir-vivre (tabous, cérémonies, mœurs, rites, usages)",Sciences humaines
Astronomie et sciences connexes (espace),Physique
Histoire générale de l'Europe de l'Ouest,Sciences humaines
"Bibliothéconomie et sciences de l'information (archives, archivistique, centres de documentation)",Sciences sociales
"Linguistique générale (linguistique descriptive, linguistique synchronique ; ouvrages généraux sur ...",Sciences sociales
"Agriculture, agronomie et techniques connexes (culture des plantes)",Biologie
"Arts du spectacle, loisirs",Sciences humaines
Jeux athlétiques et sports de plein air,Sciences humaines
"Anglais (anglo-saxon, vieil anglais)",Sciences humaines
"Botanique (plantes, spermatophytes, végétaux)",Biologie
Musique (ouvrages généraux sur la musique classique),Sciences humaines
Histoire de la France et de Monaco,Sciences humaines
"Art du paysage, urbanisme",Sciences humaines
"Zoologie (faune, ouvrages interdisciplinaires sur les animaux)",Biologie
"Fabrication industrielle (conception, fabrication, planification des produits)",Ingénierie
"Langues romanes (français ; ouvrages généraux sur les dictionnaires, l'étymologie, ...",Sciences humaines
Langues espagnole et portugaise,Sciences humaines
Autres langues,Sciences humaines
Arts plastiques (sculpture),Sciences humaines
Architecture,Sciences humaines
Littérature des langues espagnole et portugaise,Sciences humaines
Littératures de langue anglaise et anglo-saxonne,Sciences humaines
Littérature des autres langues,Sciences humaines
"Causalité, épistémologie, genre humain, théorie de la connaissance",Sciences humaines
"Histoire générale de l'Asie (Extrême-Orient, Orient)",Sciences humaines
"Paléobotanique, paléontologie (générale et stratigraphique), paléozoologie (fossiles, paléoécologie)",Biologie
Langues germaniques (allemand),Sciences humaines
"Commerce, communications, transports (aspects financiers, économie de la production, efficacité ...",Sciences sociales
Biochimie,Chimie
"Édition, journalisme ; médias documentaires, éducatifs et d'information (journaux, ouvrages ...",0.001189567493
Philosophie occidentale moderne et philosophies non orientales (ouvrages généraux sur ...,Sciences humaines
Histoire générale de l'Amérique du Nord,Sciences humaines
"Langues dalmate, italienne, rhéto-romane, roumaine, sarde",Sciences humaines
"Statistiques générales (collections de données statistiques générales, recueils interdisciplinaires)",Mathématiques
Chimie organique (carbone),Chimie
Mécanique des fluides et des liquides (hydraulique),Physique
"Associations, problèmes, services sociaux (pathologie sociale)",Sciences sociales
"Microbiologie (ouvrages généraux sur les algues, champignons, micro-organismes ; thallophytes)",Biologie
Histoire générale de l'Afrique,Sciences humaines
"Littérature des langues italienne, rhéto-romane, roumaine",Sciences humaines
"Génie mécanique, physique appliquée",Physique
"Chimie analytique (analyse qualitative et quantitative, chimie organique analytique, instruments, ...",Chimie
Physiologie humaine (ouvrages d'ensemble sur l'anatomie),Médecine
Théologie chrétienne (mythologie chrétienne ; ouvrages généraux sur le Christianisme ...,Sciences humaines
"Langues italiques (latin, paléographie latine)",Sciences humaines
Photographie (art numérique),Sciences humaines
"Mathématiques appliquées, probabilités",Mathématiques
"Écologie (du point de vue de la biologie), écosystèmes",Biologie
Physiologie et sujets voisins (mort),Biologie
Histoire générale de l'Amérique du Sud,Sciences humaines
