doi_prefix,publisher_2022,publisher_2013
10.1306,American Association of Petroleum Geologists AAPG/Datapages,AAPG/Datapages
10.1306,American Association of Petroleum Geologists AAPG/Datapages,Institute of Sociology of the Academy of Sciences of the Czech Republic
10.1119,American Association of Physics Teachers (AAPT),American Association of Physics Teachers
10.1001,American Medical Association (AMA),American Medical Association
10.1029,American Geophysical Union (AGU),American Geophysical Union
10.1037,American Psychological Association (APA),American Psychological Association
10.5084,American Psychological Association (APA),"Psychomusicology: Music, Mind and Brain"
10.1103,American Physical Society (APS),American Physical Society
10.1164,American Thoracic Society,Research Institute for Economics and Business Administration - Kobe University
10.1165,American Thoracic Society,The Mathematical Society of the Republic of China
10.1116,American Vacuum Society,Asociacion Herpetologica Espanola
10.1272,Medical Association of Nippon Medical School,Engineering and Technology Publishing
10.1272,Medical Association of Nippon Medical School,The Medical Association of Nippon Medical School
10.1167,Association for Research in Vision and Ophthalmology (ARVO),Association for Research in Vision and Opthalmology
10.1194,American Society for Biochemistry & Molecular Biology (ASBMB),"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research"
10.1074,American Society for Biochemistry & Molecular Biology (ASBMB),American Society for Biochemistry and Molecular Biology
10.1061,American Society of Civil Engineers (ASCE),American Society of Civil Engineers
10.1309,American Society for Clinical Pathology (ASCP),American Society for Clinical Pathology
10.1309,American Society for Clinical Pathology (ASCP),IBICT Test account
10.1115,ASME International,The Japanese Association for Infectious Diseases
10.1124,American Society for Pharmacology & Experimental Therapeutics (ASPET),American Society for Pharmacology & Experimental Therapeutics
10.1104,American Society of Plant Biologists (ASPB),American Society of Plant Biologists
10.1105,American Society of Plant Biologists (ASPB),American Society of Plant Biologists
10.1302,British Editorial Society of Bone & Joint Surgery,British Editorial Society of Bone and Joint Surgery
10.2959,Brill,Brill Academic Publishers (Logos International Publishing Education Foundation)
10.1163,Brill,Brill Academic Publishers
10.1163,Brill,"Institute for the Theology of Culture: New Wine, New Wineskins"
10.3815,Cambridge University Press (CUP),Cambridge University Press (Society for the Promotion of Roman Studies)
10.1375,Cambridge University Press (CUP),Cambridge University Press (Australian Academic Press)
10.7135,Cambridge University Press (CUP),Cambridge University Press (Anthem Press)
10.5948,Cambridge University Press (CUP),Cambridge University Press (Mathematical Association of America)
10.1154,Cambridge University Press (CUP),International Centre for Diffraction Data
10.5949,Cambridge University Press (CUP),Cambridge University Press (Liverpool University Press)
10.1017,Cambridge University Press (CUP),Cambridge University Press
10.4039,Cambridge University Press (CUP),Cambridge University Press (Entomological Society of Canada)
10.7313,Cambridge University Press (CUP),Cambridge University Press (Nottingham University Press)
10.1358,Clarivate,Thomson Reuters (Prous Science)
10.4023,Clarivate,"Thomson Reuters (Scientific), Inc & Affiliates"
10.1045,CNRI Acct,Corporation for National Research Initiatives
10.7811,Elsevier BV,Sociedad Argentina de Radiologia
10.1006,Elsevier BV,Elsevier - Academic Press
10.3129,Elsevier BV,Canadian Opthalmological Society
10.1533,Elsevier BV,Woodhead Publishing
10.2353,Elsevier BV,Elsevier - American Society for Investigative Pathology
10.1197,Elsevier BV,Elsevier- Hanley and Belfus Inc.
10.1067,Elsevier BV,Elsevier - Mosby
