doi_prefix,publisher_2022,publisher_2013
10.54341,Francisk Skorina Gomel State University,
10.1370,Annals of Family Medicine,
10.54339,LPPM Universitas Puangrimaggalatung,
10.15530,American Association of Petroleum Geologists AAPG/Datapages,
10.54342,LPPM ITBis Lembah Dempo,
10.54340,Korea Society of Elementary Mathematics Education,
10.54338,National University of Architecture and Construction of Armenia,
10.1120,American College of Medical Physics (ACMP),
10.54333,Kulutustutkimuksen seura,
10.54330,Finnish Mathematical Society,
10.54332,Suomen Kriminologinen Yhdistys,
10.54334,Keskiajan tutkimuksen seura Glossa ry,
10.54329,Ammatillisen koulutuksen tutkimusseura OTTU,
10.54335,Kasvinsuojeluseura ry,
10.54331,Suomen Historiallinen Seura,
10.1090,American Mathematical Society (AMS),
10.54345,STT Satyabhakti Malang,
10.54344,Instituto de Historia Uruguay,
10.29172,American Physical Society (APS),
10.54393,CrossLinks International Publishers,
10.54346,"Center for Educational Research, Seoul National University",
10.34197,American Thoracic Society,
10.54417,"Jigme Namgyel Engineering College, Royal University of Bhutan, Bhutan",
10.54349,Central Institute of Aviation Motors,
10.21019,American Pharmacists Association,
10.54351,Chechen State Pedagogical University,
10.54350,Institut Kesehatan Rajawali,
10.54358,Institute of Economic and Legal Studies,
10.54490,Yayasan Perludem,
10.46678,American Society of Plant Biologists (ASPB),
10.54781,"Department of Brahui, University of Balochistan, Quetta",
10.54363,Akademi Refraksi Optisi dan Optometry Gapopin,
10.54364,Advances in Artificial Intelligence and Machine Learning,
10.54367,Universitas Katolik Santo Thomas,
10.54369,Sekolah Tinggi Theologi Indonesia Manado,
10.54366,Vivekanand Education Society Institute of Management Studies and Research,
10.54368,Quing Publications,
10.54372,Instituto Integrado de Ciencia e Tecnologia - IN2,
10.54371,Ainara,
10.54373,Lembaga Intelektual Muda Maluku,
10.54418,"Area Study Centre (Russia, China & Central Asia)",
10.33774,Cambridge University Press (CUP),
10.54386,Association of Agrometeorologists,
10.54387,Politeknik LPP,
10.54532,The Skeptics' Guide to Emergency Medicine,
10.54384,Badan Pengawas Obat dan Makanan,
10.54382,Korean Association of Rational Emotive and Cognitive Behavior Therapy,
10.54385,Asia Cultural Creativity Institute,
10.54381,Institute of Control Systems,
10.54644,Ho Chi Minh City University of Technology and Education,
10.54388,Karary University,
10.14322,Clarivate,
10.54455,Mada Center,
10.54554,Penerbit Universiti Teknikal Malaysia Melaka Press,
10.54434,Canadian Association of Naturopathic Doctors,
10.14219,Elsevier BV,
10.25013,Elsevier BV,
10.1580,Elsevier BV,
10.1240,Elsevier BV,
10.21967,Elsevier BV,
10.7424,Elsevier BV,
10.15252,EMBO,
10.54400,Editora Barlavento,
10.1210,The Endocrine Society,
10.54397,Revista Cientifica da FAMINAS,
10.54398,Astrakhan State University,
10.54399,"Fundacao de Apoio a Pesquisa, Tecnologia e Inovacao",
10.54514,LYRASIS,
10.54406,Korea National Park Research Institute,
10.54402,Dohara Publisher Open Access Journal,
10.54403,Pusat Studi Pentakosta Indonesia,
10.54469,Rabbinical Council of America,
10.54583,Balai Diklat Keagamaan Medan,
10.54581,Psi Beta,
10.54515,Panstwowa Wyzsza Szkola Zawodowa w Chelmie,
10.1100,Hindawi Limited,
10.54458,Micro Eviorner,
10.54408,PT. Equator Sinar Akademia,
10.1123,Human Kinetics,
10.54548,Physiological Society of Nigeria,
10.54407,Donetsk National Technical University (DonNTU),
10.54492,International Journal of Current Medical and Biological Science,
10.54411,STIKES Borneo Cendekia Medika,
10.54412,NAS RA Institute of Language after H. Acharyan,
10.54409,Association for Standardization and Accreditation in Paramedic Education,
10.54423,Perkumpulan Dosen Peneliti dan Penulis Indonesia (KODEPENA),
10.54422,Institution &quot;Scientific and Research Institute of Fire Safety and Emergency Situations&quot; of the Ministry for Emergency Situations of the Republic of Belarus,
10.54424,Association for Theological Education in Southeast Asia,
10.54425,Competition Commission of India,
10.54439,Guncel Pazarlama Yaklasimlari ve Arastirmalari Dergisi,
10.54437,STIT Al-Urwatul Wutsqo Jombang,
10.54438,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Banten,
10.54431,Journal of Social Intervention Theory and Practice,
10.1310,Thomas Land Publishers,
10.54444,Sekolah Tinggi Ilmu Kesehatan Adila di Kota Bandar Lampung,
10.54441,Korean Intraoperative Neuromonitoring Society,
10.54442,Integrated Business Faculty,
10.54440,Universitas Bhakti Kencana Tasikmalaya,
10.54443,CV. Radja Publika,
10.54470,"Khulna University, Urban and Rural Planning Discipline",
10.54446,Boletim Campineiro de Geografia,
10.54445,LPPM-KI Akademi Analis Farmasi dan Makanan & Akademi Farmasi Putra Indonesia Malang,
10.35241,Emerald,
10.54448,Zotarelli-Filho Scientific Works,
10.54449,Publishing house VKN,
10.54447,Vereniging voor Nederlandse Ontwikkelings-Psychologie (VNOP),
10.54451,Instituto de Ecologia y Ciencias Ambientales (IECA),
10.54450,Society of Radiographers of South Africa,
10.54636,Calvary Baptist Theological Seminary,
10.26597,Project Muse,
10.54453,Turkish Society of Microbiology,
10.54457,"Beijing Clintile Information Technology (Hong Kong) Co., Limited",
10.54462,Kadim,
10.54460,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Lhokseumawe,
10.54461,Korean Medical Society of Soft Tissue,
10.54463,Jurusan Teknik Elektro Politeknik Negeri Ambon,
10.54464,The Neurofibromatosis Therapeutic Acceleration Program,
10.54459,STAI An-Nadwah Kuala Tungkal,
10.54475,Pioneer Publications,
10.54476,International Organization of Educators and Researchers Inc.,
