doi_prefix,publisher_2022,publisher_2013
10.714,,AOTA Press (AOTA Continuing Education)
10.152,,ASTM International
10.417,,AVES Publishing Co. Akademik Acil Tip Dergisi/Journal of Academic Emergency Medicine
10.125,,Acoustical Society of Japan
10.234,,Acta Dermato-Venereologica
10.112,,American College of Medical Physics
10.405,,American Helicopter Society
10.332,,American Industrial Hygiene Association
10.586,,American Library Association
10.109,,American Mathematical Society
10.533,,American School Counselor Association
10.12,,American Society of Clinical Oncology
10.414,,American Society of Consultant Pharmacists
10.16,,American Society of Plant Taxonomists
10.246,,American Veterinary Medical Association
10.137,,Annals of Family Medicine
10.772,,Antibodypedia
10.313,,Architectural Institute of Japan
10.413,,Asian Electric Vehicle Society
10.383,,Asian Network for Scientific Information
10.546,,Asociacion Mexicana de Comportamiento y Salud
10.571,,Asociacion Paleontologica Argentina
10.573,,Association for Library Collections & Technical Services
10.603,,Association of Experimental Stroke and Translational Medicine
10.52,,Association of Lithuaninan Serials
10.433,,Baishideng Publishing Group Co (World Journal of Cardiology)
10.541,,Baishideng Publishing Group Co (World Journal of Clinical Urology)
10.424,,Baishideng Publishing Group Co (World Journal of Gastrointestinal Surgery)
10.532,,Baishideng Publishing Group Co (World Journal of Respirology)
10.55,,Baishideng Publishing Group Co (World Journal of Transplantation)
10.219,,Baywood Publishing
10.315,,Bernoulli Society for Mathematical Statistics and Probability
10.164,,BioOne (American Fern Society)
10.312,,BioOne (California Botanical Society)
10.165,,BioOne (Cooper Ornithological Society)
10.298,,BioOne (Ecoscience)
10.429,,BioOne (Freshwater Biological Association)
10.31,,BioOne (Harvard University Botany Libraries)
10.166,,BioOne (Kansas Academy of Science)
10.218,,BioOne (Palynology)
10.299,,BioOne (Politics and the Life Sciences)
10.129,,BioOne (Society for In Vitro Biology)
10.167,,BioOne (Society for the Study of Amphibians & Reptiles)
10.316,,BioOne (Southern California Academy of Sciences)
10.222,,Biomedical Research Press
10.153,,Bioscientifica
10.504,,Bloomsbury Academic
10.1282,,Brazilian Journal of Physical Activity and Sport
10.554,,Brazilian Society for Computational and Applied Mathematics
10.781,,Bridget Williams Books
10.57,,"Business Department, School of Economics, Business & Accounting"
10.1318,,CLAWAR Association Limited
10.4,,CLEO Revues.org
10.53,,CSTUG
10.577,,Canadian Geriatrics Society
10.787,,Canadian Periodical for Community Studies
10.582,,Centers for American Indian and Alaska Native Health
10.515,,Centre Francais du Littoral
10.583,,Clinics Cardive Publishing
10.111,,Cold Spring Harbor Laboratory Press
10.39,,Colegio Brasileiro de Atividade Fisica Saude e Esporte
10.974,,College of Psychiatric and Neurologic Pharmacists
10.13039,,CrossRef Prefix (FundRef)
10.297,,Current Biodata
10.319,,Czech Geological Society
10.314,,Czech Geological Survey
10.716,,Czech University of Life Sciences Prague
10.231,,"Decker, Inc."
10.596,,Deutsche Zeitschrift fur Sportmedizin
10.432,,Dulwich Centre Publicaitons
10.379,,Duncker & Humblot GmbH
10.775,,Dundee Science Press
10.553,,EManuscript Services
10.72,,ESIC Business and Marketing School
10.5,,Earthquake Engineering Society of Korean
10.189,,Ecological Society of America
10.158,,Elsevier - Wilderness Medical Society
10.124,,Elsevier- Spektrum Akademischer Verlag
10.977,,Entrepreneurship and Sustainability Center
10.151,,European Association of Cardiothoracic Surgery
10.557,,European Defendology Center
10.527,,European Space Agency
10.341,,"Faculty of 1000, Ltd."
10.555,,Faculty of Physical Education and Sport
10.732,,Fondazione Pro Herbario Mediterraneo
10.406,,Food and Agriculture Organization of the United Nations
10.512,,Foundation of Computer Science
10.328,,Franco Angeli (mEDRA)
10.116,,Fundacion Cinde
10.116,,Schattauer GmbH
10.113,,Geological Society of America
10.549,,GeroFam Journal
10.788,,Global Business Research Center
10.11,,Hindawi (The Scientific World)
10.579,,Hong Kong University Press
10.428,,Huelva University Press
10.979,,IOSR Journals
10.215,,Illuminating Engineering Society of Japan
10.9876,,Inera test prefix
10.13,,"Informa UK (Haworth Press, Inc.,)"
10.13,,The Korean Society for Fisheries and Marine Sciences Education
10.32,,Informa UK (Heldref Publications)
10.311,,Informa UK (Regulatory Affairs)
10.108,,Informa UK (Taylor & Francis)
10.564,,Insciences Organization
10.58,,"Institute of Earth's Crust, Siberian Branch of Russian Academy of Sciences"
10.426,,Institute of Food Technology
10.337,,"Institute of Life Cycle Assessment, Japan"
10.1317,,"Institute of Postgraduate Studies, Syiah Kuala University"
10.776,,Instituto Juan de Herrera
10.416,,International Potato Center
