wiki_id,label
Q142,France
Q1718079,Results
Q1057944,propose
Q5449492,Finally
Q815844,Methods
Q4839635,Background
Q20686268,Conclusions
Q2937829,characterized
Q107058149,evaluated
Q1316954,ou
Q16919015,Conclusion
Q21067567,à la
Q1410440,parameters
Q3913357,une
Q373498,dans
Q2919270,and/or
Q1460347,recherche
Q150,French
Q1544924,analyzed
Q46,Europe
Q5759483,Highlights
Q7258081,publics
Q1257444,Based
Q3440486,sur
Q440622,français
Q1435947,assessed
Q30731066,Patients
Q3414490,qui
Q399433,vivo
Q1363554,analyses
Q2667413,characterization
Q7397,permettant
Q2252900,simulation
Q1433069,evaluate
Q1224520,diffusion
Q675391,decreased
Q8366,algorithms
Q90,Paris
Q18170473,Study
Q221681,vitro
Q4669916,Abstract
Q22906081,3%
Q1413083,parameters
Q18703883,Results
Q190686,evaluate
Q39074570,1%
Q44432,< 0
Q11369,molecules
Q46,European
Q815839,High
Q12633,Les
Q2633203,assessed
Q3776487,parameters
Q41719,hypothesis
Q2937829,characterize
Q3507995,aux
Q685216,combining
Q362,II
Q1154097,activation
Q14875456,9%
Q9056,ces
Q43619,environnement
Q5375150,enables
Q5516467,ont
Q4587,Le
Q3126171,follow-up
Q4898586,improves
Q1501648,coupled
Q65175049,Text
Q1860,En
Q6823859,Methods
Q36889,www
Q1801,La
Q31207,prise en charge
Q31855,research institutions
Q485155,Analysis
Q19902596,La
Q214981,varying
Q11465,velocity
Q22983,Data
Q25267,°C
Q252500,profiles
Q4866666,baseline
Q11696608,parameters
Q1379672,evaluate
Q18205125,Abstract
Q8087,geometry
Q2478662,conclude
Q7928745,View
Q5213042,Dans
Q34929,3D
Q3234947,situ
Q395,Math
Q3686031,concentrations
Q2329734,highlighted
Q19604525,RESULTS
Q6772887,propose
Q246240,Impact
Q7098942,optimal
Q3808900,sensitivity
Q4610556,modeling
Q823982,MathML
Q185698,methodology
Q83368,experimental results
Q17134993,validated
Q1057944,proposes
Q719602,prevalence
Q1518232,analyze
Q1610017,simulations
Q1351368,archive
Q37544,être
Q178674,nm
Q7430,DNA
Q159190,amplitude
Q2585693,efficacy
